ID,Sex,Regions,Periods,PopulationOn1January_1,PopulationOn31December_20
26639,T001038,GM0246,2019JJ00,18546.0,18589.0
28979,T001038,GM0252,2019JJ00,16486.0,16454.0
37439,T001038,GM0262,2019JJ00,33590.0,33729.0
38459,T001038,GM0263,2019JJ00,24693.0,25030.0
44519,T001038,GM0267,2019JJ00,42943.0,43171.0
44579,T001038,GM0268,2019JJ00,176731.0,177659.0
46739,T001038,GM0269,2019JJ00,23598.0,23646.0
51419,T001038,GM0273,2019JJ00,24198.0,24112.0
52019,T001038,GM0274,2019JJ00,31302.0,31419.0
52319,T001038,GM0275,2019JJ00,43640.0,43761.0
54359,T001038,GM0277,2019JJ00,1654.0,1704.0
55499,T001038,GM0279,2019JJ00,9873.0,9880.0
61019,T001038,GM0281,2019JJ00,41978.0,42159.0
65039,T001038,GM0285,2019JJ00,24417.0,24552.0
65999,T001038,GM0289,2019JJ00,38774.0,39664.0
68159,T001038,GM0293,2019JJ00,14944.0,14971.0
70019,T001038,GM0294,2019JJ00,28903.0,28854.0
68939,T001038,GM0296,2019JJ00,40951.0,41110.0
71579,T001038,GM0297,2019JJ00,28451.0,28881.0
72179,T001038,GM0299,2019JJ00,43488.0,43750.0
73559,T001038,GM0301,2019JJ00,47609.0,47934.0
45959,T001038,GM0302,2019JJ00,27481.0,27851.0
17219,T001038,GM0303,2019JJ00,40815.0,41555.0
42838,T001038,GM0304,2018JJ00,12397.0,12468.0
5399,T001038,GM0307,2019JJ00,156286.0,157276.0
7139,T001038,GM0308,2019JJ00,24767.0,24868.0
10739,T001038,GM0310,2019JJ00,42824.0,43137.0
13679,T001038,GM0312,2019JJ00,15192.0,15191.0
13739,T001038,GM0313,2019JJ00,21576.0,21866.0
18239,T001038,GM0317,2019JJ00,9113.0,9247.0
31139,T001038,GM0321,2019JJ00,49911.0,50146.0
36299,T001038,GM0327,2019JJ00,30030.0,30401.0
37739,T001038,GM0331,2019JJ00,14473.0,14467.0
41939,T001038,GM0335,2019JJ00,13996.0,13917.0
52079,T001038,GM0339,2019JJ00,5259.0,5444.0
52379,T001038,GM0340,2019JJ00,20004.0,20119.0
58259,T001038,GM0342,2019JJ00,46194.0,46606.0
62579,T001038,GM0344,2019JJ00,352866.0,357597.0
63299,T001038,GM0345,2019JJ00,65589.0,66493.0
70919,T001038,GM0351,2019JJ00,13166.0,13362.0
69299,T001038,GM0352,2019JJ00,23762.0,23914.0
31859,T001038,GM0353,2019JJ00,34160.0,34109.0
72059,T001038,GM0355,2019JJ00,63934.0,64905.0
43259,T001038,GM0356,2019JJ00,63036.0,63462.0
3659,T001038,GM0358,2019JJ00,31728.0,31859.0
4559,T001038,GM0361,2019JJ00,108558.0,109436.0
5579,T001038,GM0362,2019JJ00,90838.0,91675.0
5699,T001038,GM0363,2019JJ00,862965.0,872757.0
8159,T001038,GM0370,2019JJ00,9748.0,10022.0
9359,T001038,GM0373,2019JJ00,29974.0,29839.0
10439,T001038,GM0375,2019JJ00,41176.0,41626.0
11099,T001038,GM0376,2019JJ00,11202.0,11540.0
11279,T001038,GM0377,2019JJ00,23410.0,23571.0
13915,T001038,GM0381,2015JJ00,32870.0,33097.0
14279,T001038,GM0383,2019JJ00,35772.0,35986.0
15539,T001038,GM0384,2019JJ00,29196.0,30780.0
18059,T001038,GM0385,2019JJ00,36099.0,36197.0
19619,T001038,GM0388,2019JJ00,18507.0,18591.0
24779,T001038,GM0392,2019JJ00,161265.0,162902.0
24838,T001038,GM0393,2018JJ00,5867.0,6167.0
24899,T001038,GM0394,2019JJ00,154235.0,156002.0
26279,T001038,GM0396,2019JJ00,39164.0,39182.0
26339,T001038,GM0397,2019JJ00,27286.0,27234.0
26879,T001038,GM0398,2019JJ00,56742.0,57587.0
27479,T001038,GM0399,2019JJ00,23464.0,23968.0
27899,T001038,GM0400,2019JJ00,55604.0,56296.0
29279,T001038,GM0402,2019JJ00,90238.0,90831.0
30779,T001038,GM0405,2019JJ00,73004.0,73261.0
31319,T001038,GM0406,2019JJ00,41273.0,41273.0
